,station,lon,lat
329,CXMM,-111.2133,56.6511
330,CYQU,-118.885,55.1797
331,CYOJ,-117.1647,58.6214
332,CXHP,-116.4794,55.3958
333,CXHD,-112.2461,53.185
334,CXHR,-112.5,51.1833
335,CPIR,-112.7333,49.9
336,CWJW,-118.0301,52.9263
337,CXKM,-111.8719,52.8475
338,CYQL,-112.7936,49.6254
339,CYLL,-110.073,53.3121
340,CXMG,-117.4508,56.9739
341,CYXH,-110.7208,50.0189
342,CWRY,-112.05,49.1333
343,CXMO,-112.675,51.6603
344,CZMU,-112.3,53.5667
345,CXOL,-114.0847,51.7586
346,CZOL,-113.3626,53.6424
347,CWOE,-110.4688,49.1231
348,CXOY,-110.35,51.3833
349,CYPE,-117.4472,56.2269
350,CXPA,-118.2931,55.6211
351,CZPC,-113.9972,49.5206
352,CXPL,-111.7053,51.1253
353,CWLB,-112.0236,54.7689
354,CZPS,-113.6,52.4333
355,CWIQ,-110.05,54.75
356,CPRY,-112.6833,49.4833
357,CYQF,-113.8944,52.1822
358,CXRL,-111.7,54.5
359,CWRM,-114.9122,52.4214
360,CPRO,-112.05,50.8333
361,CXSC,-110.0906,50.3069
362,CPSV,-110.9167,49.9167
363,CYZH,-114.7772,55.2931
364,CXSL,-112.4992,54.2775
365,CXSR,-119.2303,55.6947
366,CYBW,-114.3744,51.1031
367,CXAK,-112.5956,52.3469
368,CXSP,-111.2719,54.0111
369,CPST,-113.2833,51.0333
370,CYSD,-111.1833,50.2667
371,CWAV,-114.6825,51.7781
372,CWHI,-113.2303,51.6989
373,CXTH,-111.6783,53.6253
374,CXVW,-117.2,55.1
375,CWVI,-112.0978,53.5053
376,CXVM,-110.8819,53.3439
377,CFP7,-111.1006,52.8306
378,CWGM,-113.8086,49.1311
379,CYZU,-115.7867,54.1439
380,CXZU,-115.7839,54.1397
381,CXWM,-112.1167,49.5
382,CWYL,-116.3446,51.4428
383,DAUA,-0.1833,27.8833
384,DAAG,3.2154,36.691
385,DABB,7.8092,36.8222
386,DABT,6.3086,35.7521
387,DAOR,-2.23,31.62
388,DAAE,5.0699,36.712
389,DAUB,5.7382,34.7933
390,DATM,0.9239,21.375
391,DAAD,4.2064,35.3325
392,DABC,6.6204,36.276
393,DAAJ,9.4667,24.2667
394,DAOI,1.3318,36.2127
395,DAOY,1.0,33.6667
396,DAUE,2.8596,30.5713
397,DAUG,3.7941,32.3841
398,DAOV,0.1471,35.2077
399,DAUO,6.7768,33.5114
400,DAMH,6.4833,29.2333
401,DAUH,6.1404,31.673
402,HME,31.6756,6.1431
403,DAAP,8.4167,26.5
404,DATG,5.75,19.5667
405,DAUI,2.512,27.251
406,DABJ,5.8833,36.8
407,DAAV,5.8774,36.7948
408,DAUL,2.9283,33.7644
409,DAAY,-0.2833,33.5833
410,DAOO,-0.6,35.6333
411,DAOL,-0.5323,35.5424
412,DAUU,5.4128,31.9172
413,DAAZ,0.6263,35.7522
414,DAMR,6.7,29.72
415,DAAS,5.25,36.1833
416,DAAT,5.4667,22.8167
417,DABS,8.1207,35.4316
418,DAOB,1.4632,35.3411
419,DAFH,3.3115,32.9304
420,DAUT,0.276,29.2371
421,DAOF,-8.1671,27.7004
422,DATF,7.55,28.4333
423,DAON,-1.457,35.013
424,DAUK,6.1333,33.1167
425,DAER,3.252,29.8311
426,DAEN,0.5273,27.5277
427,DAEF,0.53,27.53
428,DAUZ,9.6429,28.0516
429,NSTU,-170.7105,-14.331
430,FNBG,13.4167,-12.5833
431,FNCA,12.1833,-5.55
432,FNCB,14.5,-8.133
433,FNCT,13.4869,-12.4792
434,FNDU,20.8185,-7.4009
435,FNHU,15.7606,-12.8089
436,FNKU,16.95,-12.3833
437,FNLU,13.2312,-8.8584
438,FNUB,13.575,-14.9247
439,FNUE,19.9167,-11.7833
440,FNMA,16.3667,-9.55
441,FNBC,14.247,-6.2699
442,FNMO,12.15,-15.2
443,FNGI,15.6838,-17.0435
444,FNSA,20.4,-9.65
445,FNSO,12.3718,-6.1411
446,FNSU,13.8475,-11.1679
447,FNUG,15.0278,-7.6031
448,TQPF,-63.0551,18.2048
449,NZSP,0.0,-90.0
450,NZCM,166.6667,-77.85
451,NZPG,166.5246,-77.9634
452,NZIR,166.5692,-77.8521
453,AAXX,-68.127,-67.5669
454,NZWD,166.9667,-77.8667
455,TAPA,-61.7833,17.1167
456,TKPN,-62.5899,17.2057
457,SAZB,-62.1693,-38.725
458,SAEZ,-58.5358,-34.8222
459,SABE,-58.4156,-34.5592
460,SANC,-65.7667,-28.6
461,SAVC,-67.5,-45.7833
462,SAAC,-58.0167,-31.3
463,SACO,-64.208,-31.3236
464,SARC,-58.7619,-27.4455
465,SADD,-58.6167,-34.4833
466,SAWC,-72.0531,-50.2803
467,SADP,-58.6126,-34.6099
468,SAWT,-72.2217,-51.6092
469,SAVE,-71.15,-42.9333
470,SARF,-58.2281,-26.2127
471,SAAG,-58.6131,-33.0103
472,SARI,-54.4734,-25.7373
473,SASJ,-65.0833,-24.3833
474,SAAJ,-60.9306,-34.5459
475,SADL,-57.8947,-34.9722
476,SANL,-66.8167,-29.3833
477,SAMM,-69.5743,-35.4936
478,SAZM,-57.5733,-37.9342
479,SAME,-68.7929,-32.8317
480,SADM,-58.6428,-34.6763
481,SAZN,-68.1333,-38.95
482,SAAP,-60.4804,-31.7948
483,SARL,-57.1521,-29.6894
484,SAWP,-71.0167,-46.5167
485,SARP,-55.9691,-27.3855
486,SARE,-59.0561,-27.45
487,SAOC,-64.2333,-33.1167
488,SAWG,-69.2833,-51.6167
489,SAWE,-67.75,-53.8
490,SANR,-64.9358,-27.4967
491,SAAR,-60.785,-32.9036
492,SASA,-65.4862,-24.856
493,SAVN,-65.0343,-40.7512
494,SAZS,-71.1575,-41.1512
495,SADF,-58.5896,-34.4532
496,SANU,-68.4182,-31.5715
497,SAOU,-66.3564,-33.2732
498,SAMR,-68.4038,-34.5883
499,SAAV,-60.8117,-31.7117
500,SAZR,-64.2667,-36.5667
501,SANE,-64.3101,-27.7656
502,SAST,-63.8167,-22.65
503,SAVT,-65.2703,-43.2105
504,SANT,-65.1049,-26.8409
505,SAKR,-61.34,-35.62
506,SAWH,-68.3167,-54.8
507,SAVV,-63.0167,-40.85
508,SAOR,-65.3874,-33.7299
509,BXK,-112.6862,33.4204
510,IFP,-114.5595,35.1574
511,CGZ,-111.7668,32.9549
512,CHD,-111.81,33.27
513,AZC,-113.0139,36.9599
514,P08,-111.4265,32.936
515,DMA,-110.883,32.166
516,DVT,-112.0826,33.6883
517,DUG,-109.6037,31.469
518,FLG,-111.6722,35.1403
519,FHU,-110.3442,31.5883
520,GBN,-112.72,32.8875
521,GXF,-112.7199,32.8875
522,GEU,-112.2951,33.5269
523,GYR,-112.3736,33.4224
524,GCN,-112.1547,35.9461
525,40G,-112.15,35.65
526,IGM,-113.933,35.2577
527,LGF,-114.3967,32.86
528,HII,-114.3583,34.5711
529,LUF,-112.383,33.535
530,A39,-111.9185,32.9908
531,FFZ,-111.7283,33.4608
532,OLS,-110.8458,31.4208
533,PGA,-111.4484,36.9261
534,PAN,-111.3393,34.2568
535,PHX,-112.0116,33.4343
536,MZJ,-111.3279,32.51
537,ALK,-110.4281,31.6072
538,PRC,-112.42,34.65
539,SAD,-109.6353,32.8547
540,SDL,-111.9105,33.6229
541,SEZ,-111.7884,34.8486
542,SOW,-110.0057,34.2655
543,JTC,-109.3109,34.1294
544,SJN,-109.38,34.52
545,TYL,-110.1118,34.4577
546,TUS,-110.938,32.1203
547,AVQ,-111.2184,32.4096
548,RYN,-111.1746,32.1422
549,NOZ,-114.4673,32.5095
550,CMR,-112.1947,35.3054
551,IWA,-111.6555,33.3078
552,RQE,-109.0614,35.6575
553,INW,-110.7225,35.0219
554,YUM,-114.606,32.6566
555,NYL,-114.606,32.6566
556,ADF,-93.0661,34.0998
557,M89,-93.0661,34.0998
558,BVX,-91.6472,35.7261
559,SUZ,-92.4794,34.5904
560,VBT,-94.2194,36.3457
561,HKA,-89.83,35.94
562,CDH,-92.7634,33.6228
563,CCA,-92.4516,35.5978
564,CXW,-92.5551,35.0199
565,4M9,-90.6479,36.4042
566,BYH,-89.9439,35.9643
567,ELD,-92.8133,33.221
568,FYV,-94.1701,36.0051
569,FLP,-92.5902,36.2909
570,FSM,-94.3674,35.3366
571,HRO,-93.1547,36.2615
572,HOT,-93.0962,34.478
573,DEQ,-94.3994,34.047
574,JBR,-90.6464,35.8317
575,LIT,-92.2357,34.7273
576,LRF,-92.1465,34.9168
577,MEZ,-94.2026,34.5454
578,LLQ,-91.75,33.64
579,BPK,-92.47,36.37
580,MWT,-93.5781,34.5467
581,M19,-91.1764,35.6377
582,ORK,-92.2541,34.8331
583,LZK,-92.2594,34.835
584,XNA,-94.307,36.282
585,PBF,-91.9347,34.175
586,ROG,-94.107,36.3724
587,RUE,-93.0947,35.2578
588,SRC,-91.74,35.21
589,SLG,-94.49,36.1919
590,ASG,-94.1193,36.1764
591,SGT,-91.575,34.5995
592,TXK,-93.991,33.4537
593,ARG,-90.9251,36.1247
594,AWM,-90.2344,35.1351
595,UDSG,43.8593,40.7504
596,UDYZ,44.3959,40.1473
597,TCNA,-70.0152,12.5014
598,TNCA,-70.0152,12.5014
599,YPAD,138.5204,-34.9524
600,YABA,117.8022,-34.9414
601,YMAY,146.9581,-36.0678
602,YBAS,133.889,-23.7951
603,YAMB,152.7111,-27.6297
604,YARG,128.4517,-16.6381
605,YMAV,144.4783,-38.0287
606,YBNA,153.5585,-28.8353
607,YBWX,115.4056,-20.875
608,YBDV,139.3472,-25.8975
609,YBBN,153.1292,-27.3917
610,YBHI,141.472,-32.0014
611,YBRM,122.2353,-17.9475
612,YBLN,115.4,33.687
613,YBUD,152.323,-24.9069
614,YBCS,145.7458,-16.8736
615,YSCB,149.2003,-35.3088
616,YCAR,113.67,-24.8878
617,YCAS,153.0669,-28.8828
618,YCDU,133.6976,-32.1297
619,YBCV,146.2558,-26.4139
620,YPXM,105.6875,-10.4528
621,YCCY,140.504,-20.6686
622,YCBA,145.794,-31.5383
623,YPCC,96.8344,-12.1892
624,YCFS,153.1187,-30.3107
625,YCBP,134.721,-29.04
626,YBCG,153.5053,-28.1681
627,YCOM,148.974,-36.3006
628,YCBB,149.267,-31.3325
629,YCNM,148.376,-30.9833
630,YPDN,130.8926,-12.424
631,YCIN,123.8283,-17.5814
632,YDBY,123.661,-17.37
633,YSDU,148.5747,-32.2167
634,YEML,148.179,-23.5675
635,YESP,121.823,-33.6844
636,YFRT,128.115,-30.8381
637,YGEL,114.6975,-28.7953
638,YGLA,151.223,-23.8697
639,YPGV,136.8183,-12.2694
640,YGFN,153.03,-29.7594
641,YGTH,146.067,-34.2508
642,YGTE,136.4631,-13.9747
643,YBHM,148.9517,-20.3581
644,YMHB,147.5033,-42.8339
645,YHID,142.29,-10.5844
646,YHUG,144.225,-20.815
647,YPKG,121.4533,-30.7847
648,YPTN,132.3826,-14.5229
649,YKRY,151.8398,-26.5737
650,YPKU,128.71,-15.7814
